split,model,count,corr,mae,rmse,qlike,resid_mean,resid_std,sq_lag1_corr
train,covariance_sigma,68073,0.638052049846159,0.003960296770362201,0.0057729991033225875,-6.914565759543343,0.001585351385713876,1.1137567500983474,0.052171083610006545
train,covariance_sigma_raw,68073,0.625113967580647,0.004062839626934352,0.005943008067464937,-6.899828042112004,0.0019041683942494312,1.1292725137094293,0.05218569894627396
train,rolling20_diag,68073,0.4958492653792229,0.005125224603965645,0.007138851081383326,-6.796611009079457,-0.006145316471934447,1.1125400853998575,0.05185182773451892
train,ewma_diag,68073,0.5321816902536916,0.004731502935814109,0.0065689876951073745,-6.878879792733057,-0.005452483990879152,1.059258204049792,0.07369554463501996
val,covariance_sigma,16494,0.3984831629004336,0.0034559130433127437,0.005082365698604556,-7.321004775192284,0.024540821598795812,1.0682733931857813,0.014443365407168835
val,covariance_sigma_raw,16494,0.4075666548014301,0.0034487398861729785,0.005056159826029877,-7.322121152389799,0.02480184991672352,1.0681565740882262,0.01200921369683975
val,rolling20_diag,16494,0.2667611337092579,0.004515633298903098,0.006525353987772882,-7.164652237279731,0.032085184801117564,1.1356683300407713,0.029359231802909537
val,ewma_diag,16494,0.31880275617386317,0.004092034913017457,0.005929297554733694,-7.2553381874921,0.027965563484139946,1.0716346454771,0.02286163287228312
test,covariance_sigma,16122,0.62741073981516,0.004983605826954058,0.008619571510645562,-6.759645221063162,-0.013574000398169613,1.1283752880021025,0.06884809800229276
test,covariance_sigma_raw,16122,0.48319893622426896,0.005368418202841428,0.009676638009773643,-6.6125802059083325,-0.01350637144182329,1.2249223409984156,0.06605114370249518
test,rolling20_diag,16122,0.501415803411893,0.006740205986625155,0.010420971637283628,-6.608910372766166,-0.024316522339383643,1.1609457871505904,0.16639113415962833
test,ewma_diag,16122,0.5400907100084488,0.006298245468356326,0.009625266690548652,-6.69627747832698,-0.020090391178383158,1.0983586090951594,0.1124283414941504
